Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,resolution_time_hours,resolution_zscore,is_outlier_iqr,resolution_time_capped,is_outlier
6433.0,Working Professionals,Fullstack Program,Duplicate,2021-05-14 13:11:00,2021-05-14 20:46:00,,fullstack-phase-2,7.583333333333333,0.5469143325558721,False,7.583333333333333,False
6434.0,Working Professionals,Fullstack Program,Duplicate,2021-05-14 13:12:00,2021-05-14 20:47:00,,fullstack-phase-2,7.583333333333333,0.5469143325558721,False,7.583333333333333,False
6441.0,Working Professionals,Backend Program,Closed,2021-05-14 14:03:00,2021-05-16 21:20:00,14-05-2021 15:42,backend-phase-3,55.28333333333333,1.3987894705715505,False,55.28333333333333,False
6455.0,Working Professionals,Backend Program,Deleted,2021-05-14 15:16:00,2021-05-14 15:17:00,,system-issues,0.016666666666666666,0.855561965896141,False,0.016666666666666666,False
6451.0,Working Professionals,Backend Program,Closed,2021-05-14 14:56:00,2021-05-17 11:40:00,14-05-2021 15:13,system-issues,68.73333333333333,1.9474208364429098,False,68.73333333333333,False
6467.0,Working Professionals,Backend Program,Closed,2021-05-14 16:43:00,2021-05-16 12:40:00,14-05-2021 20:37,fullstack-phase-2,43.95,0.9364978611632183,False,43.95,False
6469.0,Working Professionals,Backend Program,Deleted,2021-05-14 16:44:00,2021-05-14 17:14:00,,system-issues,0.5,0.8358465884360797,False,0.5,False
6475.0,Working Professionals,Fullstack Program,Closed,2021-05-14 18:00:00,2021-05-17 11:44:00,14-05-2021 18:13,system-issues,65.73333333333333,1.825049528070116,False,65.73333333333333,False
6470.0,Working Professionals,Backend Program,Duplicate,2021-05-14 16:45:00,2021-05-17 11:43:00,,system-issues,66.96666666666667,1.8753577326233757,False,66.96666666666667,False
6466.0,Working Professionals,Backend Program,Closed,2021-05-14 16:41:00,2021-05-17 11:42:00,14-05-2021 16:55,system-issues,67.01666666666667,1.877397254429589,False,67.01666666666667,False
6505.0,Working Professionals,Backend Program,Closed,2021-05-14 20:38:00,2021-05-19 10:54:00,14-05-2021 20:44,backend-phase1,110.26666666666667,3.641583616804034,True,86.10624999999999,True
6506.0,Working Professionals,Backend Program,Duplicate,2021-05-14 20:39:00,2021-05-17 22:19:00,,backend-phase1,73.66666666666667,2.148653654655949,False,73.66666666666667,False
6525.0,Student,Fullstack Program,Closed,2021-05-14 23:03:00,2021-05-21 17:53:00,15-05-2021 11:38,fullstack-phase-1,162.83333333333334,5.785800875736212,True,86.10624999999999,True
6529.0,Working Professionals,Backend Program,Closed,2021-05-14 23:10:00,2021-05-16 21:21:00,16-05-2021 21:21,backend-phase2,46.18333333333333,1.0275965018407425,False,46.18333333333333,False
6485.0,Working Professionals,Backend Program,Deleted,2021-05-14 19:34:00,2021-05-14 20:03:00,,backend-phase-3,0.48333333333333334,0.8365264290381508,False,0.48333333333333334,False
6527.0,Working Professionals,Backend Program,Deleted,2021-05-14 23:08:00,2021-05-14 23:09:00,,backend-phase2,0.016666666666666666,0.855561965896141,False,0.016666666666666666,False
6532.0,Working Professionals,Fullstack Program,Closed,2021-05-15 01:23:00,2021-05-16 21:08:00,15-05-2021 14:23,fullstack-phase-2,43.75,0.9283397739383653,False,43.75,False
6537.0,Student,Fullstack Program,Deleted,2021-05-15 07:52:00,2021-05-15 08:17:00,,fullstack-phase-3,0.4166666666666667,0.8392457914464351,False,0.4166666666666667,False
6548.0,Student,Fullstack Program,Closed,2021-05-15 10:38:00,2021-05-18 19:15:00,15-05-2021 12:28,trial phase,80.61666666666666,2.4321471857195873,False,80.61666666666666,False
6487.0,Working Professionals,Fullstack Program,Closed,2021-05-14 19:39:00,2021-05-17 11:44:00,14-05-2021 20:08,system-issues,64.08333333333333,1.7577453084650791,False,64.08333333333333,False
6490.0,Working Professionals,Backend Program,Closed,2021-05-14 19:51:00,2021-05-17 11:46:00,14-05-2021 20:42,backend-phase1,63.916666666666664,1.7509469024443685,False,63.916666666666664,False
6501.0,Student,Fullstack Program,Closed,2021-05-14 20:20:00,2021-05-16 12:44:00,14-05-2021 20:31,fullstack-phase-2,40.4,0.7916918129220787,False,40.4,False
6549.0,Student,Fullstack Program,Closed,2021-05-15 10:50:00,2021-05-17 11:50:00,15-05-2021 12:27,fullstack-phase-2,49.0,1.1424895635907546,False,49.0,False
6502.0,Working Professionals,Fullstack Program,Closed,2021-05-14 20:23:00,2021-05-14 21:26:00,14-05-2021 20:29,fullstack-phase-1,1.05,0.8134118485677342,False,1.05,False
6530.0,Working Professionals,Fullstack Program,Closed,2021-05-15 01:14:00,2021-05-16 17:00:00,15-05-2021 14:27,fullstack-phase-1,39.766666666666666,0.7658578700433778,False,39.766666666666666,False
6535.0,Working Professionals,Backend Program,Duplicate,2021-05-15 07:22:00,2021-05-16 21:25:00,,backend-phase2,38.05,0.6958342880300568,False,38.05,False
6556.0,Working Professionals,Fullstack Program,Closed,2021-05-15 12:27:00,2021-05-16 12:32:00,15-05-2021 12:32,fullstack-phase-2,24.083333333333332,0.12612786349449429,False,24.083333333333332,False
6479.0,Student,Fullstack Program,Closed,2021-05-14 19:03:00,2021-05-16 12:38:00,14-05-2021 20:28,fullstack-phase-2,41.583333333333336,0.8399604956691253,False,41.583333333333336,False
6488.0,Working Professionals,Fellowship Program,Deleted,2021-05-14 19:43:00,2021-05-14 19:43:00,,fellowship-phase-1,0.0,0.856241806498212,False,0.0,False
6489.0,Working Professionals,Fellowship Program,Closed,2021-05-14 19:43:00,2021-05-17 22:19:00,16-05-2021 12:08,fellowship-phase-1,74.6,2.186724728371929,False,74.6,False
6507.0,Working Professionals,Backend Program,Duplicate,2021-05-14 20:39:00,2021-05-17 22:19:00,,backend-phase1,73.66666666666667,2.148653654655949,False,73.66666666666667,False
6478.0,Working Professionals,Fullstack Program,Closed,2021-05-14 18:45:00,2021-05-16 20:38:00,14-05-2021 21:01,fullstack-phase-4,49.88333333333333,1.1785211155005215,False,49.88333333333333,False
6500.0,Working Professionals,Backend Program,Closed,2021-05-14 20:10:00,2021-05-17 11:47:00,14-05-2021 20:11,backend-phase2,63.61666666666667,1.7387097716070892,False,63.61666666666667,False
6510.0,Student,Fullstack Program,Duplicate,2021-05-14 21:11:00,2021-05-17 11:48:00,14-05-2021 23:08,trial phase,62.61666666666667,1.6979193354828246,False,62.61666666666667,False
6543.0,Student,Fullstack Program,Closed,2021-05-15 09:21:00,2021-05-15 14:17:00,15-05-2021 14:17,fullstack-phase-3,4.933333333333334,0.6550089882851732,False,4.933333333333334,False
6503.0,Working Professionals,Fullstack Program,Closed,2021-05-14 20:31:00,2021-05-14 21:06:00,14-05-2021 20:34,fullstack-phase-2,0.5833333333333334,0.8324473854257244,False,0.5833333333333334,False
6508.0,Working Professionals,Backend Program,Closed,2021-05-14 20:40:00,2021-05-18 22:11:00,14-05-2021 22:35,system-issues,97.51666666666667,3.12150555621966,True,86.10624999999999,True
6509.0,Student,Fullstack Program,Closed,2021-05-14 21:03:00,2021-05-17 11:48:00,14-05-2021 22:00,fullstack-phase-2,62.75,1.7033580602993932,False,62.75,False
6518.0,Working Professionals,Fullstack Program,Duplicate,2021-05-14 21:51:00,2021-05-14 21:55:00,,fullstack-phase-1,0.06666666666666667,0.8535224440899277,False,0.06666666666666667,False
6533.0,Working Professionals,Fullstack Program,Closed,2021-05-15 03:23:00,2021-05-16 12:48:00,15-05-2021 11:59,fullstack-phase-2,33.416666666666664,0.5068386006542974,False,33.416666666666664,False
6519.0,Working Professionals,Fullstack Program,Closed,2021-05-14 21:52:00,2021-05-16 12:37:00,14-05-2021 21:55,fullstack-phase-1,38.75,0.7243875933170422,False,38.75,False
6526.0,Student,Fullstack Program,Duplicate,2021-05-14 23:05:00,2021-05-15 14:31:00,,fullstack-phase-1,15.433333333333334,0.22670940898039466,False,15.433333333333334,False
6541.0,Student,Fullstack Program,Closed,2021-05-15 09:10:00,2021-05-16 12:48:00,15-05-2021 11:46,fullstack-phase-1,27.633333333333333,0.27093391173563375,False,27.633333333333333,False
6542.0,Student,Fullstack Program,Deleted,2021-05-15 09:15:00,2021-05-15 09:20:00,,fullstack-phase-3,0.08333333333333333,0.8528426034878567,False,0.08333333333333333,False
6547.0,Working Professionals,Fullstack Program,Closed,2021-05-15 10:37:00,2021-05-16 12:48:00,16-05-2021 12:39,fullstack-phase-2,26.183333333333334,0.21178777935545004,False,26.183333333333334,False
6534.0,Working Professionals,Backend Program,Deleted,2021-05-15 07:20:00,2021-05-15 07:21:00,,backend-phase2,0.016666666666666666,0.855561965896141,False,0.016666666666666666,False
6545.0,Working Professionals,Backend Program,Closed,2021-05-15 10:14:00,2021-05-17 11:49:00,15-05-2021 10:36,system-issues,49.583333333333336,1.1662839846632422,False,49.583333333333336,False
6550.0,Working Professionals,Backend Program,Closed,2021-05-15 11:19:00,2021-05-16 21:22:00,16-05-2021 12:07,backend-phase2,34.05,0.5326725435329983,False,34.05,False
6561.0,Working Professionals,Fullstack Program,Deleted,2021-05-15 13:23:00,2021-05-15 13:52:00,,fullstack-phase-3,0.48333333333333334,0.8365264290381508,False,0.48333333333333334,False
6568.0,Working Professionals,Fellowship Program,Deleted,2021-05-15 14:44:00,2021-05-15 15:04:00,,fellowship-phase-1,0.3333333333333333,0.8426449944567905,False,0.3333333333333333,False
6536.0,Working Professionals,Backend Program,Closed,2021-05-15 07:32:00,2021-05-17 22:20:00,15-05-2021 14:18,backend-phase2,62.8,1.7053975821056062,False,62.8,False
6555.0,Working Professionals,Fullstack Program,Closed,2021-05-15 12:27:00,2021-05-15 14:14:00,15-05-2021 12:45,fullstack-phase-2,1.7833333333333334,0.7834988620766067,False,1.7833333333333334,False
6567.0,Working Professionals,Backend Program,Deleted,2021-05-15 14:43:00,2021-05-15 14:43:00,,trial phase,0.0,0.856241806498212,False,0.0,False
6622.0,Working Professionals,Backend Program,Closed,2021-05-16 12:08:00,2021-05-17 11:52:00,16-05-2021 12:08,backend-phase-3,23.733333333333334,0.11185121085100175,False,23.733333333333334,False
6646.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:10:00,2021-05-18 20:12:00,16-05-2021 12:10,fullstack-phase-1,56.03333333333333,1.429382297664749,False,56.03333333333333,False
6553.0,Working Professionals,Fullstack Program,Closed,2021-05-15 12:09:00,2021-05-17 11:50:00,16-05-2021 12:07,fellowship-phase-1,47.68333333333333,1.0887821560271393,False,47.68333333333333,False
6558.0,Student,Fullstack Program,Closed,2021-05-15 12:47:00,2021-05-16 12:32:00,15-05-2021 14:12,fullstack-phase-3,23.75,0.11253105145307278,False,23.75,False
6559.0,Student,Fullstack Program,Closed,2021-05-15 12:50:00,2021-05-16 12:32:00,16-05-2021 12:08,fullstack-phase-3,23.7,0.11049152964685953,False,23.7,False
6565.0,Student,Backend Program,Closed,2021-05-15 14:24:00,2021-05-18 20:37:00,15-05-2021 14:46,backend-phase1,78.21666666666667,2.3342501390213526,False,78.21666666666667,False
6554.0,Working Professionals,Fullstack Program,Deleted,2021-05-15 12:13:00,2021-05-15 12:42:00,,fullstack-phase-1,0.48333333333333334,0.8365264290381508,False,0.48333333333333334,False
6575.0,Working Professionals,Fellowship Program,Closed,2021-05-15 15:06:00,2021-05-18 19:14:00,18-05-2021 19:11,fellowship-phase-1,76.13333333333334,2.2492700637624683,False,76.13333333333334,False
6617.0,Working Professionals,Backend Program,Closed,2021-05-16 12:07:00,2021-05-18 11:13:00,16-05-2021 12:10,trial phase,47.1,1.064987734954652,False,47.1,False
6621.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:08:00,2021-05-17 11:52:00,16-05-2021 12:27,system-issues,23.733333333333334,0.11185121085100175,False,23.733333333333334,False
6636.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:09:00,2021-05-17 19:33:00,16-05-2021 12:09,system-issues,31.4,0.4245778878036971,False,31.4,False
6577.0,Working Professionals,Backend Program,Closed,2021-05-15 15:25:00,2021-05-17 22:23:00,15-05-2021 15:47,backend-phase2,54.96666666666667,1.3858724991322002,False,54.96666666666667,False
6615.0,Student,Fullstack Program,Closed,2021-05-16 12:07:00,2021-05-16 12:31:00,16-05-2021 12:09,fullstack-phase-1,0.4,0.8399256320485062,False,0.4,False
6620.0,Working Professionals,Backend Program,Closed,2021-05-16 12:08:00,2021-05-17 11:52:00,16-05-2021 12:11,backend-phase1,23.733333333333334,0.11185121085100175,False,23.733333333333334,False
6623.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:08:00,2021-05-18 19:14:00,16-05-2021 14:59,fullstack-phase-3,55.1,1.3913112239487688,False,55.1,False
