Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,day_of_week,hour,day_number,week_num,month,days_since_last_ticket
6413.0,Working Professionals,Fullstack Program,Closed,2021-05-14 02:26:00,14-05-2021 20:38,14-05-2021 19:05,fullstack-phase-1,Friday,2.0,14.0,19,5.0,1909.0
6410.0,Student,Fullstack Program,Deleted,2021-05-14 01:46:00,14-05-2021 02:05,,fullstack-phase-3,Friday,1.0,14.0,19,5.0,1909.0
6435.0,Working Professionals,Backend Program,Closed,2021-05-14 13:16:00,17-05-2021 11:40,14-05-2021 15:04,system-issues,Friday,13.0,14.0,19,5.0,1908.0
6464.0,Student,Fullstack Program,Closed,2021-05-14 16:19:00,16-05-2021 12:40,14-05-2021 20:38,fullstack-phase-2,Friday,16.0,14.0,19,5.0,1908.0
6468.0,Working Professionals,Backend Program,Duplicate,2021-05-14 16:43:00,17-05-2021 11:44,,system-issues,Friday,16.0,14.0,19,5.0,1908.0
6417.0,Student,Fellowship Program,Closed,2021-05-14 11:16:00,14-05-2021 19:05,14-05-2021 19:05,fellowship-phase-1,Friday,11.0,14.0,19,5.0,1908.0
6425.0,Working Professionals,Fullstack Program,Closed,2021-05-14 12:26:00,17-05-2021 11:40,14-05-2021 15:06,system-issues,Friday,12.0,14.0,19,5.0,1908.0
6422.0,Student,Fullstack Program,Closed,2021-05-14 12:03:00,17-05-2021 19:33,14-05-2021 12:14,system-issues,Friday,12.0,14.0,19,5.0,1908.0
6432.0,Working Professionals,Fullstack Program,Closed,2021-05-14 13:11:00,16-05-2021 12:43,14-05-2021 20:46,fullstack-phase-2,Friday,13.0,14.0,19,5.0,1908.0
6447.0,Working Professionals,Backend Program,Closed,2021-05-14 14:29:00,17-05-2021 11:40,14-05-2021 14:41,fullstack-phase-2,Friday,14.0,14.0,19,5.0,1908.0
6461.0,Working Professionals,Fullstack Program,Closed,2021-05-14 15:53:00,14-05-2021 21:10,14-05-2021 16:33,fullstack-phase-3,Friday,15.0,14.0,19,5.0,1908.0
6426.0,Student,Fullstack Program,Closed,2021-05-14 12:41:00,16-05-2021 12:44,14-05-2021 20:40,fullstack-phase-4,Friday,12.0,14.0,19,5.0,1908.0
6428.0,Student,Fullstack Program,Closed,2021-05-14 12:54:00,14-05-2021 21:14,14-05-2021 15:06,fullstack-phase-1,Friday,12.0,14.0,19,5.0,1908.0
6433.0,Working Professionals,Fullstack Program,Duplicate,2021-05-14 13:11:00,14-05-2021 20:46,,fullstack-phase-2,Friday,13.0,14.0,19,5.0,1908.0
6434.0,Working Professionals,Fullstack Program,Duplicate,2021-05-14 13:12:00,14-05-2021 20:47,,fullstack-phase-2,Friday,13.0,14.0,19,5.0,1908.0
6441.0,Working Professionals,Backend Program,Closed,2021-05-14 14:03:00,16-05-2021 21:20,14-05-2021 15:42,backend-phase-3,Friday,14.0,14.0,19,5.0,1908.0
6455.0,Working Professionals,Backend Program,Deleted,2021-05-14 15:16:00,14-05-2021 15:17,,system-issues,Friday,15.0,14.0,19,5.0,1908.0
6451.0,Working Professionals,Backend Program,Closed,2021-05-14 14:56:00,17-05-2021 11:40,14-05-2021 15:13,system-issues,Friday,14.0,14.0,19,5.0,1908.0
6467.0,Working Professionals,Backend Program,Closed,2021-05-14 16:43:00,16-05-2021 12:40,14-05-2021 20:37,fullstack-phase-2,Friday,16.0,14.0,19,5.0,1908.0
6469.0,Working Professionals,Backend Program,Deleted,2021-05-14 16:44:00,14-05-2021 17:14,,system-issues,Friday,16.0,14.0,19,5.0,1908.0
6475.0,Working Professionals,Fullstack Program,Closed,2021-05-14 18:00:00,17-05-2021 11:44,14-05-2021 18:13,system-issues,Friday,18.0,14.0,19,5.0,1908.0
6470.0,Working Professionals,Backend Program,Duplicate,2021-05-14 16:45:00,17-05-2021 11:43,,system-issues,Friday,16.0,14.0,19,5.0,1908.0
6466.0,Working Professionals,Backend Program,Closed,2021-05-14 16:41:00,17-05-2021 11:42,14-05-2021 16:55,system-issues,Friday,16.0,14.0,19,5.0,1908.0
6505.0,Working Professionals,Backend Program,Closed,2021-05-14 20:38:00,19-05-2021 10:54,14-05-2021 20:44,backend-phase1,Friday,20.0,14.0,19,5.0,1908.0
6506.0,Working Professionals,Backend Program,Duplicate,2021-05-14 20:39:00,17-05-2021 22:19,,backend-phase1,Friday,20.0,14.0,19,5.0,1908.0
6525.0,Student,Fullstack Program,Closed,2021-05-14 23:03:00,21-05-2021 17:53,15-05-2021 11:38,fullstack-phase-1,Friday,23.0,14.0,19,5.0,1908.0
6529.0,Working Professionals,Backend Program,Closed,2021-05-14 23:10:00,16-05-2021 21:21,16-05-2021 21:21,backend-phase2,Friday,23.0,14.0,19,5.0,1908.0
6485.0,Working Professionals,Backend Program,Deleted,2021-05-14 19:34:00,14-05-2021 20:03,,backend-phase-3,Friday,19.0,14.0,19,5.0,1908.0
6527.0,Working Professionals,Backend Program,Deleted,2021-05-14 23:08:00,14-05-2021 23:09,,backend-phase2,Friday,23.0,14.0,19,5.0,1908.0
6532.0,Working Professionals,Fullstack Program,Closed,2021-05-15 01:23:00,16-05-2021 21:08,15-05-2021 14:23,fullstack-phase-2,Saturday,1.0,15.0,19,5.0,1908.0
6537.0,Student,Fullstack Program,Deleted,2021-05-15 07:52:00,15-05-2021 08:17,,fullstack-phase-3,Saturday,7.0,15.0,19,5.0,1908.0
6548.0,Student,Fullstack Program,Closed,2021-05-15 10:38:00,18-05-2021 19:15,15-05-2021 12:28,trial phase,Saturday,10.0,15.0,19,5.0,1908.0
6487.0,Working Professionals,Fullstack Program,Closed,2021-05-14 19:39:00,17-05-2021 11:44,14-05-2021 20:08,system-issues,Friday,19.0,14.0,19,5.0,1908.0
6490.0,Working Professionals,Backend Program,Closed,2021-05-14 19:51:00,17-05-2021 11:46,14-05-2021 20:42,backend-phase1,Friday,19.0,14.0,19,5.0,1908.0
6501.0,Student,Fullstack Program,Closed,2021-05-14 20:20:00,16-05-2021 12:44,14-05-2021 20:31,fullstack-phase-2,Friday,20.0,14.0,19,5.0,1908.0
6549.0,Student,Fullstack Program,Closed,2021-05-15 10:50:00,17-05-2021 11:50,15-05-2021 12:27,fullstack-phase-2,Saturday,10.0,15.0,19,5.0,1908.0
6502.0,Working Professionals,Fullstack Program,Closed,2021-05-14 20:23:00,14-05-2021 21:26,14-05-2021 20:29,fullstack-phase-1,Friday,20.0,14.0,19,5.0,1908.0
6530.0,Working Professionals,Fullstack Program,Closed,2021-05-15 01:14:00,16-05-2021 17:00,15-05-2021 14:27,fullstack-phase-1,Saturday,1.0,15.0,19,5.0,1908.0
