,pearson,spearman
committed_points,0.048012214170752465,0.08344777874734075
completed_points,0.7688080070711029,0.7443216154116769
velocity_completion_pct,1.0,1.0
avg_cycle_time_days,-0.904583098117286,-0.654421485492246
bugs_logged,-0.8862988093962575,-0.6625923747646716
