Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase
7058.0,Working Professionals,Fullstack Program,Duplicate,19-05-2021 20:17,19-05-2021 22:17,,fullstack-phase-2
7060.0,Student,Fullstack Program,Closed,19-05-2021 21:05,19-05-2021 22:18,19-05-2021 21:05,system-issues
7044.0,Working Professionals,Backend Program,Duplicate,19-05-2021 19:07,19-05-2021 22:15,,system-issues
7072.0,Working Professionals,Fullstack Program,Closed,19-05-2021 23:04,21-05-2021 17:54,19-05-2021 23:12,fullstack-phase-2
7047.0,Student,Fullstack Program,Deleted,19-05-2021 19:42,19-05-2021 19:44,,fullstack-phase-4
7052.0,Working Professionals,Backend Program,Closed,19-05-2021 19:55,20-05-2021 13:19,20-05-2021 13:09,system-issues
7062.0,Working Professionals,Fullstack Program,Closed,19-05-2021 21:29,20-05-2021 12:36,20-05-2021 11:37,fullstack-phase-1
7067.0,Student,Backend Program,Closed,19-05-2021 22:11,19-05-2021 22:44,19-05-2021 22:36,backend-phase2
7068.0,Working Professionals,Backend Program,Deleted,19-05-2021 22:16,19-05-2021 22:19,,system-issues
7059.0,Working Professionals,Fullstack Program,Re-opened,19-05-2021 20:40,-,19-05-2021 20:59,fullstack-phase-2
7070.0,Working Professionals,Fullstack Program,Closed,19-05-2021 22:42,20-05-2021 22:39,19-05-2021 23:11,fullstack-phase-2
7069.0,Working Professionals,Backend Program,Closed,19-05-2021 22:32,20-05-2021 11:52,19-05-2021 22:43,system-issues
7073.0,Working Professionals,Backend Program,Duplicate,19-05-2021 23:26,20-05-2021 13:19,20-05-2021 11:49,trial phase
7066.0,Student,Backend Program,Deleted,19-05-2021 22:08,19-05-2021 22:10,,backend-phase2
7075.0,Working Professionals,Fullstack Program,Closed,19-05-2021 23:42,20-05-2021 21:04,20-05-2021 15:26,fullstack-phase-2
7074.0,Working Professionals,Fellowship Program,Closed,19-05-2021 23:30,20-05-2021 12:34,20-05-2021 11:50,fellowship-phase-1
7080.0,Working Professionals,Fullstack Program,Deleted,20-05-2021 00:51,20-05-2021 01:09,,system-issues
7076.0,Working Professionals,Fellowship Program,Closed,19-05-2021 23:56,20-05-2021 13:16,20-05-2021 10:00,fellowship-phase-1
7079.0,Student,Backend Program,Closed,20-05-2021 00:44,20-05-2021 21:30,20-05-2021 10:09,backend-phase2
7095.0,Working Professionals,Backend Program,Duplicate,20-05-2021 11:50,20-05-2021 12:32,20-05-2021 14:25,backend-phase1
7096.0,Working Professionals,Backend Program,Closed,20-05-2021 11:51,21-05-2021 16:57,20-05-2021 11:52,trial phase
7101.0,Working Professionals,Fullstack Program,Closed,20-05-2021 12:10,21-05-2021 20:02,20-05-2021 21:42,fullstack-phase-3
7121.0,Working Professionals,Backend Program,Closed,20-05-2021 14:06,21-05-2021 17:54,20-05-2021 15:29,fullstack-phase-1
7088.0,Working Professionals,Fullstack Program,Duplicate,20-05-2021 11:20,20-05-2021 15:26,,fullstack-phase-2
7103.0,Student,Fullstack Program,Closed,20-05-2021 12:34,20-05-2021 13:07,20-05-2021 13:07,fullstack-phase-2
7118.0,Working Professionals,Fullstack Program,Closed,20-05-2021 13:37,20-05-2021 21:41,20-05-2021 15:08,fullstack-phase-3
7127.0,Working Professionals,Fullstack Program,Closed,20-05-2021 14:50,20-05-2021 15:47,20-05-2021 15:24,system-issues
7089.0,Working Professionals,Fullstack Program,Duplicate,20-05-2021 11:20,20-05-2021 12:32,,fullstack-phase-2
7122.0,Working Professionals,Backend Program,Duplicate,20-05-2021 14:07,20-05-2021 15:29,,fullstack-phase-1
7125.0,Working Professionals,Fellowship Program,Duplicate,20-05-2021 14:41,20-05-2021 15:11,,fellowship-phase-1
7128.0,Working Professionals,Backend Program,Closed,20-05-2021 14:53,20-05-2021 15:30,20-05-2021 15:19,system-issues
7129.0,Working Professionals,Backend Program,Deleted,20-05-2021 15:12,20-05-2021 15:27,,system-issues
7147.0,Working Professionals,Fullstack Program,Deleted,20-05-2021 19:11,20-05-2021 19:11,,fullstack-phase-2
7085.0,Working Professionals,Fellowship Program,Closed,20-05-2021 10:21,21-05-2021 13:50,20-05-2021 15:09,fellowship-phase-1
7094.0,Student,Fullstack Program,Closed,20-05-2021 11:50,21-05-2021 10:17,20-05-2021 15:26,fullstack-phase-2
7137.0,Student,Fullstack Program,Closed,20-05-2021 16:39,21-05-2021 17:54,20-05-2021 20:43,fullstack-phase-2
7148.0,Working Professionals,Fullstack Program,Closed,20-05-2021 19:14,20-05-2021 21:18,20-05-2021 21:18,fullstack-phase-2
7164.0,Working Professionals,Backend Program,Duplicate,20-05-2021 21:47,20-05-2021 22:46,,system-issues
7166.0,Working Professionals,Fullstack Program,Closed,20-05-2021 21:54,20-05-2021 23:50,20-05-2021 23:50,fullstack-phase-2
7091.0,Student,Fullstack Program,Closed,20-05-2021 11:22,20-05-2021 13:08,20-05-2021 13:08,fullstack-phase-2
7109.0,Student,Backend Program,Closed,20-05-2021 13:16,20-05-2021 14:47,20-05-2021 14:15,trial phase
7115.0,Student,Backend Program,Closed,20-05-2021 13:27,21-05-2021 21:46,20-05-2021 14:27,backend-phase2
7120.0,Working Professionals,Fullstack Program,Closed,20-05-2021 13:52,20-05-2021 15:12,20-05-2021 14:43,fellowship-phase-1
7092.0,Student,Backend Program,Closed,20-05-2021 11:27,20-05-2021 13:14,20-05-2021 11:49,backend-phase2
7116.0,Working Professionals,Fellowship Program,Closed,20-05-2021 13:31,21-05-2021 17:42,20-05-2021 15:01,fellowship-phase-1
7149.0,Working Professionals,Backend Program,Waiting for mentor response,20-05-2021 19:33,-,20-05-2021 20:09,system-issues
7160.0,Working Professionals,Fullstack Program,Closed,20-05-2021 20:59,20-05-2021 22:02,20-05-2021 21:13,fullstack-phase-2
7136.0,Working Professionals,Backend Program,Closed,20-05-2021 16:24,20-05-2021 17:40,20-05-2021 17:05,system-issues
7144.0,Student,Fullstack Program,Closed,20-05-2021 18:46,20-05-2021 21:44,20-05-2021 19:17,fullstack-phase-2
7150.0,Student,Fellowship Program,Waiting for user response,20-05-2021 19:39,-,20-05-2021 20:09,system-issues
7168.0,Working Professionals,Fullstack Program,Duplicate,20-05-2021 21:58,20-05-2021 22:38,,fullstack-phase-1
7175.0,Working Professionals,Backend Program,Deleted,20-05-2021 23:28,20-05-2021 23:30,,backend-phase2
7131.0,Student,Backend Program,Closed,20-05-2021 15:48,20-05-2021 19:49,20-05-2021 17:03,backend-phase2
7151.0,Working Professionals,Fullstack Program,Deleted,20-05-2021 19:57,20-05-2021 20:02,,fullstack-phase-1
7162.0,Working Professionals,Fullstack Program,Closed,20-05-2021 21:38,20-05-2021 23:34,20-05-2021 21:48,fullstack-phase-2
7157.0,Working Professionals,Fullstack Program,Closed,20-05-2021 20:24,21-05-2021 17:49,20-05-2021 20:56,fullstack-phase-2
7172.0,Working Professionals,Fellowship Program,Waiting for user response,20-05-2021 23:11,-,21-05-2021 11:19,fellowship-phase-1
7169.0,Working Professionals,Fellowship Program,Waiting for user response,20-05-2021 22:21,-,20-05-2021 23:00,fullstack-phase-1
7173.0,Working Professionals,Backend Program,Deleted,20-05-2021 23:26,20-05-2021 23:26,,backend-phase1
7153.0,Working Professionals,Fullstack Program,Closed,20-05-2021 20:02,20-05-2021 20:39,20-05-2021 20:11,fullstack-phase-2
7154.0,Student,Fullstack Program,Closed,20-05-2021 20:13,20-05-2021 21:33,20-05-2021 20:14,fullstack-phase-2
7158.0,Working Professionals,Fullstack Program,Closed,20-05-2021 20:50,21-05-2021 20:02,,fullstack-phase-2
7161.0,Working Professionals,Fullstack Program,Closed,20-05-2021 21:03,21-05-2021 10:29,20-05-2021 21:50,system-issues
7163.0,Working Professionals,Backend Program,Closed,20-05-2021 21:46,22-05-2021 09:11,20-05-2021 21:49,system-issues
7167.0,Working Professionals,Fullstack Program,Closed,20-05-2021 21:57,20-05-2021 22:57,20-05-2021 22:56,fullstack-phase-1
7171.0,Working Professionals,Fullstack Program,Open,20-05-2021 23:10,-,,fullstack-phase-2
7177.0,Student,Backend Program,Deleted,20-05-2021 23:39,20-05-2021 23:57,,backend-phase1
7165.0,Working Professionals,Backend Program,Duplicate,20-05-2021 21:52,21-05-2021 22:35,20-05-2021 22:41,fullstack-phase-2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
