Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase
6403.0,Working Professionals,Fullstack Program,Closed,14-05-2021 01:09,14-05-2021 19:04,14-05-2021 08:51,trial phase
6415.0,Working Professionals,Backend Program,Duplicate,14-05-2021 10:12,14-05-2021 11:23,,trial phase
6420.0,Working Professionals,Fullstack Program,Closed,14-05-2021 11:46,16-05-2021 00:09,14-05-2021 18:14,trial phase
6402.0,Student,Fullstack Program,Closed,14-05-2021 01:08,14-05-2021 19:04,14-05-2021 14:45,fullstack-phase-1
6423.0,Working Professionals,Fellowship Program,Closed,14-05-2021 12:17,14-05-2021 20:39,14-05-2021 12:21,trial phase
6429.0,Working Professionals,Fullstack Program,Closed,14-05-2021 13:04,16-05-2021 12:43,14-05-2021 20:44,fullstack-phase-1
6404.0,Student,Fullstack Program,Deleted,14-05-2021 01:12,14-05-2021 01:13,,fullstack-phase-2
6405.0,Student,Fullstack Program,Closed,14-05-2021 01:23,18-05-2021 19:15,14-05-2021 14:15,fullstack-phase-2
6400.0,Student,Fellowship Program,Closed,14-05-2021 00:26,14-05-2021 11:18,14-05-2021 08:32,system-issues
6411.0,Working Professionals,Backend Program,Closed,14-05-2021 02:15,17-05-2021 22:19,14-05-2021 11:54,backend-phase2
6443.0,Working Professionals,Backend Program,Closed,14-05-2021 14:06,14-05-2021 20:45,14-05-2021 15:20,backend-phase2
6401.0,Student,Fellowship Program,Closed,14-05-2021 00:26,15-05-2021 20:58,16-05-2021 12:10,system-issues
6419.0,Working Professionals,Backend Program,Closed,14-05-2021 11:27,16-05-2021 12:13,14-05-2021 11:47,system-issues
6407.0,Student,Fullstack Program,Closed,14-05-2021 01:28,16-05-2021 12:10,14-05-2021 21:26,fullstack-phase-4
6448.0,Student,Fullstack Program,Closed,14-05-2021 14:31,16-05-2021 12:41,14-05-2021 21:10,fullstack-phase-4
6412.0,Student,Fullstack Program,Closed,14-05-2021 02:26,14-05-2021 19:05,14-05-2021 19:05,fullstack-phase-1
6413.0,Working Professionals,Fullstack Program,Closed,14-05-2021 02:26,14-05-2021 20:38,14-05-2021 19:05,fullstack-phase-1
6410.0,Student,Fullstack Program,Deleted,14-05-2021 01:46,14-05-2021 02:05,,fullstack-phase-3
6435.0,Working Professionals,Backend Program,Closed,14-05-2021 13:16,17-05-2021 11:40,14-05-2021 15:04,system-issues
6464.0,Student,Fullstack Program,Closed,14-05-2021 16:19,16-05-2021 12:40,14-05-2021 20:38,fullstack-phase-2
6468.0,Working Professionals,Backend Program,Duplicate,14-05-2021 16:43,17-05-2021 11:44,,system-issues
6417.0,Student,Fellowship Program,Closed,14-05-2021 11:16,14-05-2021 19:05,14-05-2021 19:05,fellowship-phase-1
6425.0,Working Professionals,Fullstack Program,Closed,14-05-2021 12:26,17-05-2021 11:40,14-05-2021 15:06,system-issues
6422.0,Student,Fullstack Program,Closed,14-05-2021 12:03,17-05-2021 19:33,14-05-2021 12:14,system-issues
6432.0,Working Professionals,Fullstack Program,Closed,14-05-2021 13:11,16-05-2021 12:43,14-05-2021 20:46,fullstack-phase-2
6447.0,Working Professionals,Backend Program,Closed,14-05-2021 14:29,17-05-2021 11:40,14-05-2021 14:41,fullstack-phase-2
6461.0,Working Professionals,Fullstack Program,Closed,14-05-2021 15:53,14-05-2021 21:10,14-05-2021 16:33,fullstack-phase-3
6426.0,Student,Fullstack Program,Closed,14-05-2021 12:41,16-05-2021 12:44,14-05-2021 20:40,fullstack-phase-4
6428.0,Student,Fullstack Program,Closed,14-05-2021 12:54,14-05-2021 21:14,14-05-2021 15:06,fullstack-phase-1
6433.0,Working Professionals,Fullstack Program,Duplicate,14-05-2021 13:11,14-05-2021 20:46,,fullstack-phase-2
6434.0,Working Professionals,Fullstack Program,Duplicate,14-05-2021 13:12,14-05-2021 20:47,,fullstack-phase-2
6441.0,Working Professionals,Backend Program,Closed,14-05-2021 14:03,16-05-2021 21:20,14-05-2021 15:42,backend-phase-3
6455.0,Working Professionals,Backend Program,Deleted,14-05-2021 15:16,14-05-2021 15:17,,system-issues
6451.0,Working Professionals,Backend Program,Closed,14-05-2021 14:56,17-05-2021 11:40,14-05-2021 15:13,system-issues
6467.0,Working Professionals,Backend Program,Closed,14-05-2021 16:43,16-05-2021 12:40,14-05-2021 20:37,fullstack-phase-2
6469.0,Working Professionals,Backend Program,Deleted,14-05-2021 16:44,14-05-2021 17:14,,system-issues
6475.0,Working Professionals,Fullstack Program,Closed,14-05-2021 18:00,17-05-2021 11:44,14-05-2021 18:13,system-issues
6470.0,Working Professionals,Backend Program,Duplicate,14-05-2021 16:45,17-05-2021 11:43,,system-issues
6466.0,Working Professionals,Backend Program,Closed,14-05-2021 16:41,17-05-2021 11:42,14-05-2021 16:55,system-issues
6505.0,Working Professionals,Backend Program,Closed,14-05-2021 20:38,19-05-2021 10:54,14-05-2021 20:44,backend-phase1
6506.0,Working Professionals,Backend Program,Duplicate,14-05-2021 20:39,17-05-2021 22:19,,backend-phase1
6525.0,Student,Fullstack Program,Closed,14-05-2021 23:03,21-05-2021 17:53,15-05-2021 11:38,fullstack-phase-1
6529.0,Working Professionals,Backend Program,Closed,14-05-2021 23:10,16-05-2021 21:21,16-05-2021 21:21,backend-phase2
6485.0,Working Professionals,Backend Program,Deleted,14-05-2021 19:34,14-05-2021 20:03,,backend-phase-3
6527.0,Working Professionals,Backend Program,Deleted,14-05-2021 23:08,14-05-2021 23:09,,backend-phase2
6532.0,Working Professionals,Fullstack Program,Closed,15-05-2021 01:23,16-05-2021 21:08,15-05-2021 14:23,fullstack-phase-2
6537.0,Student,Fullstack Program,Deleted,15-05-2021 07:52,15-05-2021 08:17,,fullstack-phase-3
6548.0,Student,Fullstack Program,Closed,15-05-2021 10:38,18-05-2021 19:15,15-05-2021 12:28,trial phase
6487.0,Working Professionals,Fullstack Program,Closed,14-05-2021 19:39,17-05-2021 11:44,14-05-2021 20:08,system-issues
6490.0,Working Professionals,Backend Program,Closed,14-05-2021 19:51,17-05-2021 11:46,14-05-2021 20:42,backend-phase1
6501.0,Student,Fullstack Program,Closed,14-05-2021 20:20,16-05-2021 12:44,14-05-2021 20:31,fullstack-phase-2
6549.0,Student,Fullstack Program,Closed,15-05-2021 10:50,17-05-2021 11:50,15-05-2021 12:27,fullstack-phase-2
6502.0,Working Professionals,Fullstack Program,Closed,14-05-2021 20:23,14-05-2021 21:26,14-05-2021 20:29,fullstack-phase-1
6530.0,Working Professionals,Fullstack Program,Closed,15-05-2021 01:14,16-05-2021 17:00,15-05-2021 14:27,fullstack-phase-1
